DATE,PAYEMS,Total Nonfarm pct
1970-02-28,71305,0.20475422480891944
1970-03-31,71451,-0.1441547354130803
1970-04-30,71348,-0.31395414027022484
1970-05-31,71124,-0.13356954052078063
1970-06-30,71029,0.03378901575412859
1970-07-31,71053,-0.16325841273415617
1970-08-31,70937,0.00986791096324908
1970-09-30,70944,-0.5962449255751014
1970-10-31,70521,-0.15881794075523603
1970-11-30,70409,0.5439645499865073
1970-12-31,70792,0.1031189964967793
1971-01-31,70865,-0.08184576307062724
1971-02-28,70807,0.07485135650430043
1971-03-31,70860,0.24837708156929156
1971-04-30,71036,0.2970324905681626
1971-05-31,71247,0.009824975086670316
1971-06-30,71254,0.08560922895556741
1971-07-31,71315,0.08132931360863774
1971-08-31,71373,0.3376627015818307
1971-09-30,71614,0.039098500293238754
1971-10-31,71642,0.28614499874375365
1971-11-30,71847,0.36466379946274724
1971-12-31,72109,0.4604140953279064
1972-01-31,72441,0.28574978258168715
1972-02-29,72648,0.407444114084352
1972-03-31,72944,0.2988593989910068
1972-04-30,73162,0.4196167409310845
1972-05-31,73469,0.3933631871945991
1972-06-30,73758,-0.06643347162341712
1972-07-31,73709,0.5860885373563609
1972-08-31,74141,0.16590010925129148
1972-09-30,74264,0.5520844554562102
1972-10-31,74674,0.4004071028738249
1972-11-30,74973,0.3934749843276913
1972-12-31,75268,0.46367646277302443
1973-01-31,75617,0.5250142163799145
1973-02-28,76014,0.3551977267345489
1973-03-31,76284,0.2241623407267579
1973-04-30,76455,0.25243607350729186
1973-05-31,76648,0.3118150506210208
1973-06-30,76887,0.0338158596381703
1973-07-31,76913,0.33154343218961685
1973-08-31,77168,0.1399543852374041
1973-09-30,77276,0.4283347999378849
1973-10-31,77607,0.40331413403430105
1973-11-30,77920,0.14245379876796713
1973-12-31,78031,0.08842639463802847
1974-01-31,78100,0.19718309859154928
1974-02-28,78254,0.05367137782094206
1974-03-31,78296,0.10983958312046592
1974-04-30,78382,0.21305912071649105
1974-05-31,78549,0.07001998752371132
1974-06-30,78604,0.04071039641748511
1974-07-31,78636,-0.02161859708021771
1974-08-31,78619,-0.011447614444345514
1974-09-30,78610,0.025442055718102024
1974-10-31,78630,-0.4641994149815592
1974-11-30,78265,-0.7832364402989842
1974-12-31,77652,-0.4623190645443775
1975-01-31,77293,-0.48516683270153826
1975-02-28,76918,-0.35102316752905693
1975-03-31,76648,-0.24527711094875274
1975-04-30,76460,0.21449123724823438
1975-05-31,76624,-0.13442263520567968
1975-06-30,76521,0.32540087034931586
1975-07-31,76770,0.49889279666536407
1975-08-31,77153,0.09720944098090806
1975-09-30,77228,0.40399854974879573
1975-10-31,77540,0.18700025793139025
1975-11-30,77685,0.4273669305528738
1975-12-31,78017,0.6229411538510837
1976-01-31,78503,0.39871087729131366
1976-02-29,78816,0.29435647584246855
1976-03-31,79048,0.30867321121343994
1976-04-30,79292,0.025223225546082834
1976-05-31,79312,0.0806939681258826
